Filed week ended,State,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case_Fatality_Ratio,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
2020-01-04,New York,0,0,0,0,0.0,,44846,2019-12-28,181668,9351620,1.94
2020-01-04,North Carolina,0,0,0,0,0.0,,3508,2019-12-28,20848,4362309,0.48
2020-01-04,North Dakota,0,0,0,0,0.0,,836,2019-12-28,5785,409901,1.41
2020-01-04,Ohio,0,0,0,0,0.0,,10759,2019-12-28,73287,5327431,1.38
2020-01-04,Oklahoma,0,0,0,0,0.0,,2943,2019-12-28,18080,1560077,1.16
2020-01-04,Oregon,0,0,0,0,0.0,,6714,2019-12-28,35451,1898680,1.87
2020-01-04,Pennsylvania,0,0,0,0,0.0,,27298,2019-12-28,135411,5787653,2.34
2020-01-04,Rhode Island,0,0,0,0,0.0,,1972,2019-12-28,12109,471911,2.57
2020-01-04,South Carolina,0,0,0,0,0.0,,7471,2019-12-28,18922,2070232,0.91
2020-01-04,South Dakota,0,0,0,0,0.0,,398,2019-12-28,2798,416296,0.67
2020-01-04,Tennessee,0,0,0,0,0.0,,3084,2019-12-28,22163,3250062,0.68
2020-01-04,Texas,0,0,0,0,0.0,,12367,2019-12-28,141473,12168097,1.16
2020-01-04,Utah,0,0,0,0,0.0,,1518,2019-12-28,11328,1454279,0.78
2020-01-04,Vermont,0,0,0,0,0.0,,680,2019-12-28,5417,303175,1.79
2020-01-04,Virginia,0,0,0,0,0.0,,3188,2019-12-28,22171,3722198,0.6
2020-01-04,Washington,0,0,0,0,0.0,,10024,2019-12-28,70363,3317884,2.12
2020-01-04,West Virginia,0,0,0,0,0.0,,1564,2019-12-28,15887,670192,2.37
2020-01-04,Wisconsin,0,0,0,0,0.0,,12854,2019-12-28,49605,2848173,1.74
2020-01-04,Wyoming,0,0,0,0,0.0,,662,2019-12-28,3219,267362,1.2
2020-01-11,Alabama,0,0,0,0,0.0,,3629,2020-01-04,21143,1923741,1.1
2020-01-11,Alaska,0,0,0,0,0.0,,1371,2020-01-04,9310,307329,3.03
2020-01-11,Arizona,0,0,0,0,0.0,,4654,2020-01-04,18259,2864180,0.64
2020-01-11,Arkansas,0,0,0,0,0.0,,2493,2020-01-04,15536,1195622,1.3
2020-01-11,California,0,0,0,0,0.0,,51993,2020-01-04,356376,17265039,2.06
